"","customerId","orderTimestamp","amountSpent","productName","productCategory","adSpent","acqChannel","age","salary"
"1",47,2009-01-20,26.6,"Step and Distance Pedometer TL Pro","Industrial",26.9791035975795,"fb",44,"low"
"2",47,2009-02-03,38.71,"Biking Tracker U Pro with MP3 Player","Pets and Animals",26.9791035975795,"fb",44,"low"
"3",47,2009-02-06,53.38,"Wearable Transmitter KR","Lifestyle",26.9791035975795,"fb",44,"low"
"4",47,2009-02-06,14.28,"Multifunction Tracker MG Pro with heart rate sensor","Lifestyle",26.9791035975795,"fb",44,"low"
"5",47,2009-02-17,29.5,"Action Camera Pro","Lifestyle",26.9791035975795,"fb",44,"low"
"6",47,2009-02-23,18.91,"Strapless Heart Rate Monitor","Medical",26.9791035975795,"fb",44,"low"
"7",47,2009-03-01,64.41,"Action Camera RE Pro with Wi-Fi and GPS","Entertainment",26.9791035975795,"fb",44,"low"
"8",47,2009-03-09,18.03,"Microcontroller ES","Fitness",26.9791035975795,"fb",44,"low"
"9",47,2009-03-17,25.55,"Microcontroller OGBE with Wi-Fi and GPS","Awesome",26.9791035975795,"fb",44,"low"
"10",47,2009-03-17,13.64,"Wearable AUSG with Calorie Counter","Medical",26.9791035975795,"fb",44,"low"
"11",47,2009-03-24,47.83,"Step and Distance Pedometer TL Pro","Industrial",26.9791035975795,"fb",44,"low"
"12",47,2009-03-31,42.14,"Biking Tracker U Pro with MP3 Player","Pets and Animals",26.9791035975795,"fb",44,"low"
"13",47,2009-04-14,21.73,"Wearable Transmitter KR","Lifestyle",26.9791035975795,"fb",44,"low"
"14",47,2009-04-16,21.73,"Multifunction Tracker MG Pro with heart rate sensor","Lifestyle",26.9791035975795,"fb",44,"low"
"15",47,2009-04-23,17.97,"Action Camera Pro","Lifestyle",26.9791035975795,"fb",44,"low"
"16",47,2009-04-28,28.85,"Strapless Heart Rate Monitor","Medical",26.9791035975795,"fb",44,"low"
"17",47,2009-04-28,7.15,"Action Camera RE Pro with Wi-Fi and GPS","Entertainment",26.9791035975795,"fb",44,"low"
"18",47,2009-05-01,57.75,"Microcontroller ES","Fitness",26.9791035975795,"fb",44,"low"
"19",47,2009-05-04,40.98,"Microcontroller OGBE with Wi-Fi and GPS","Awesome",26.9791035975795,"fb",44,"low"
"20",47,2009-05-12,14.93,"Wearable AUSG with Calorie Counter","Medical",26.9791035975795,"fb",44,"low"
"21",47,2009-05-14,14.32,"Step and Distance Pedometer TL Pro","Industrial",26.9791035975795,"fb",44,"low"
"22",47,2009-05-19,40.76,"Biking Tracker U Pro with MP3 Player","Pets and Animals",26.9791035975795,"fb",44,"low"
"23",47,2009-05-26,83.41,"Wearable Transmitter KR","Lifestyle",26.9791035975795,"fb",44,"low"
"24",47,2009-06-01,47.39,"Multifunction Tracker MG Pro with heart rate sensor","Lifestyle",26.9791035975795,"fb",44,"low"
"25",47,2009-06-05,16.76,"Action Camera Pro","Lifestyle",26.9791035975795,"fb",44,"low"
"26",47,2009-06-12,26.71,"Strapless Heart Rate Monitor","Medical",26.9791035975795,"fb",44,"low"
"27",47,2009-06-16,18.66,"Action Camera RE Pro with Wi-Fi and GPS","Entertainment",26.9791035975795,"fb",44,"low"
"28",47,2009-06-23,46.65,"Microcontroller ES","Fitness",26.9791035975795,"fb",44,"low"
"29",47,2009-07-02,20.27,"Microcontroller OGBE with Wi-Fi and GPS","Awesome",26.9791035975795,"fb",44,"low"
