orderTimestamp,customerId,amountSpent,productName,productCategory
2009-01-20,47,26.6,Step and Distance Pedometer TL Pro,Industrial
2009-02-03,47,38.71,Biking Tracker U Pro with MP3 Player,Pets and Animals
2009-02-06,47,53.38,Wearable Transmitter KR,Lifestyle
2009-02-06,47,14.28,Multifunction Tracker MG Pro with heart rate sensor,Lifestyle
2009-02-17,47,29.5,Action Camera Pro,Lifestyle
2009-02-23,47,18.91,Strapless Heart Rate Monitor,Medical
2009-03-01,47,64.41,Action Camera RE Pro with Wi-Fi and GPS,Entertainment
2009-03-09,47,18.03,Microcontroller ES,Fitness
2009-03-17,47,25.55,Microcontroller OGBE with Wi-Fi and GPS,Awesome
2009-03-17,47,13.64,Wearable AUSG with Calorie Counter,Medical
2009-03-24,47,47.83,Step and Distance Pedometer TL Pro,Industrial
2009-03-31,47,42.14,Biking Tracker U Pro with MP3 Player,Pets and Animals
2009-04-14,47,21.73,Wearable Transmitter KR,Lifestyle
2009-04-16,47,21.73,Multifunction Tracker MG Pro with heart rate sensor,Lifestyle
2009-04-23,47,17.97,Action Camera Pro,Lifestyle
2009-04-28,47,28.85,Strapless Heart Rate Monitor,Medical
2009-04-28,47,7.15,Action Camera RE Pro with Wi-Fi and GPS,Entertainment
2009-05-01,47,57.75,Microcontroller ES,Fitness
2009-05-04,47,40.98,Microcontroller OGBE with Wi-Fi and GPS,Awesome
2009-05-12,47,14.93,Wearable AUSG with Calorie Counter,Medical
2009-05-14,47,14.32,Step and Distance Pedometer TL Pro,Industrial
2009-05-19,47,40.76,Biking Tracker U Pro with MP3 Player,Pets and Animals
2009-05-26,47,83.41,Wearable Transmitter KR,Lifestyle
2009-06-01,47,47.39,Multifunction Tracker MG Pro with heart rate sensor,Lifestyle
2009-06-05,47,16.76,Action Camera Pro,Lifestyle
2009-06-12,47,26.71,Strapless Heart Rate Monitor,Medical
2009-06-16,47,18.66,Action Camera RE Pro with Wi-Fi and GPS,Entertainment
2009-06-23,47,46.65,Microcontroller ES,Fitness
2009-07-02,47,20.27,Microcontroller OGBE with Wi-Fi and GPS,Awesome
2009-07-06,47,44.88,Wearable AUSG with Calorie Counter,Medical
2009-07-08,47,17.61,Step and Distance Pedometer TL Pro,Industrial
2009-07-13,47,23.15,Biking Tracker U Pro with MP3 Player,Pets and Animals
2009-07-19,47,71.09,Wearable Transmitter KR,Lifestyle
2009-07-24,47,50.66,Multifunction Tracker MG Pro with heart rate sensor,Lifestyle
2009-07-30,47,69.11,Action Camera Pro,Lifestyle
2009-07-30,47,41,Strapless Heart Rate Monitor,Medical
2009-08-10,47,51.42,Action Camera RE Pro with Wi-Fi and GPS,Entertainment
2009-08-10,47,14.76,Microcontroller ES,Fitness
2009-08-10,47,15.64,Microcontroller OGBE with Wi-Fi and GPS,Awesome
2009-08-18,47,12.9555,Wearable AUSG with Calorie Counter,Medical
2009-08-25,47,50.29,Step and Distance Pedometer TL Pro,Industrial
2009-08-25,47,4.09,Biking Tracker U Pro with MP3 Player,Pets and Animals
2009-08-25,47,3.08,Wearable Transmitter KR,Lifestyle
2009-08-28,47,66.25,Multifunction Tracker MG Pro with heart rate sensor,Lifestyle
2009-08-28,47,7.56,Action Camera Pro,Lifestyle
2009-09-02,47,70.1302,Strapless Heart Rate Monitor,Medical
2009-09-03,47,12.27,Action Camera RE Pro with Wi-Fi and GPS,Entertainment
2009-09-07,47,106.89,Microcontroller ES,Fitness
2009-09-17,47,92.51,Microcontroller OGBE with Wi-Fi and GPS,Awesome
2009-09-21,47,40.125,Wearable AUSG with Calorie Counter,Medical
2009-09-29,47,61.74,Step and Distance Pedometer TL Pro,Industrial
2009-10-05,47,51.78,Biking Tracker U Pro with MP3 Player,Pets and Animals
2009-10-11,47,3.74,Wearable Transmitter KR,Lifestyle
2009-10-20,47,40.11,Multifunction Tracker MG Pro with heart rate sensor,Lifestyle
2009-10-26,47,45.4838,Action Camera Pro,Lifestyle
2009-11-05,47,41.78,Strapless Heart Rate Monitor,Medical
2009-11-12,47,23.1,Action Camera RE Pro with Wi-Fi and GPS,Entertainment
2009-11-17,47,48.25,Microcontroller ES,Fitness
2009-11-18,47,5,Microcontroller OGBE with Wi-Fi and GPS,Awesome
2009-11-29,47,60.14,Wearable AUSG with Calorie Counter,Medical
2009-12-06,47,70.72,Step and Distance Pedometer TL Pro,Industrial
2009-12-14,47,172.534,Biking Tracker U Pro with MP3 Player,Pets and Animals
2010-01-03,47,62.3497,Wearable Transmitter KR,Lifestyle
2010-01-04,47,18.39,Multifunction Tracker MG Pro with heart rate sensor,Lifestyle
2010-01-24,47,52.0292,Action Camera Pro,Lifestyle
2010-01-31,47,47.6325,Strapless Heart Rate Monitor,Medical
2010-01-31,47,23.629,Action Camera RE Pro with Wi-Fi and GPS,Entertainment
2010-02-01,47,6.638,Microcontroller ES,Fitness
2010-02-16,47,79.9095,Microcontroller OGBE with Wi-Fi and GPS,Awesome
2010-02-22,47,51.15,Wearable AUSG with Calorie Counter,Medical
2010-02-23,47,27.97,Step and Distance Pedometer TL Pro,Industrial
2010-02-25,47,15.5025,Biking Tracker U Pro with MP3 Player,Pets and Animals
2010-03-01,47,48.152,Wearable Transmitter KR,Lifestyle
2010-03-02,47,34.13,Multifunction Tracker MG Pro with heart rate sensor,Lifestyle
2010-03-05,47,7.22,Action Camera Pro,Lifestyle
2009-03-10,95,7.47,Strapless Heart Rate Monitor,Medical
2009-04-07,95,3.68,Action Camera RE Pro with Wi-Fi and GPS,Entertainment
2009-01-29,98,16.96,Microcontroller ES,Fitness
2009-02-16,98,6.74,Microcontroller OGBE with Wi-Fi and GPS,Awesome
2009-03-03,98,3.68,Wearable AUSG with Calorie Counter,Medical
